1;1.1.Машиностроительная и обробатывающая промышленость;;;;;;;;
2;;;1.1.1.Тяжелое машиностроение;;;;;;
3;;;;Металлорежущие станки;;;;;
323;;;;;;Скиповый подъемник;0,05;;
324;;;;;;Электротележки;0,1;;
325;;;;Вентиляторы, насосы, компрессоры;;;;;
326;;;;;;Вентиляторы санитарно-гегеинической вентиляции;0,6 - 0,65;;
327;;;;;;Вентиляторы производственные;0,7 - 0,85;;
328;;;;;;Вентиляторы к стекальным печам;;;
329;;;;;;Вентиляторы к дробилкам;0,4 - 0,45;;
330;;;;;;Насосы водяные;0,7 - 0,8;;
331;;;;;;Насосы песковые;0,8 - 0,9;;
332;;;;;;Вакуум насосы;0,9;;
333;;;;;;Насосы автоматизированных артскважин;0,65;;
334;;;;;;Дымососы;0,9;;
335;;;;;;Газодувки;0,8;;
336;;;;;;Воздуходувки;0,5 - 0,7;;
337;;;;;;Компрессоры;0,65;;
338;;1.6.Черная металлургия;;;;;Ки;cosfi;
339;;;;Коксохимическое производство;;;;;
340;;;;;;Транспортеры винтовые;0,3 - 0,7;0,4 - 0,6;
341;;;;;;Транспортеры катучие;0,3;0,75;
342;;;;;;Питатели пластинчатые и ленточные;0,45;0,75;
343;;;;;;Дробилки молотковые;0,8;0,8;
344;;;;;;Дозированные столы;0,25;0,5;
345;;;;;;Штабеллеры;0,16;0,6 - 0,7;
346;;;;;;Углеперегружатели;0,14;0,5;
347;;;;;;Коксовыталкиватели;0,1;0,75;
348;;;;;;Загрузочные вагоны;0,3;0,6;
349;;;;;;Двересъемные машины;0,25;0,7;
350;;;;;;Электровозы сушильных машин вагонов;0,16;0,75;
351;;;;;;Скиповые подъемники;0,05;0,5;
352;;;;;;Кабестаны;0,5;0,7;
353;;;;;;Вагоноопракидователи;0,35 - 0,45;0,5 - 0,6;
354;;;;Доменный цех;;;;;
355;;;;;;Вентиляторы;0,7 - 0,95;0,7 - 0,87;
356;;;;;;Вентяляторы газовых горелок;0,65;0,85;
357;;;;;;Вращающиеся распределители;0,03;0,7;
358;;;;;;Грохоты кокса и затворы;0,12;0,5;
359;;;;;;Разливочные машины;0,3;0,6;
360;;;;;;Бегуны;0,7;0,65;
361;;;;;;Воздухонагреватели;0,5;0,82;
362;;;;;;Газоочистка;0,7;0,7;
363;;;;;;Краны рудного двора;0,35;0,7;
364;;;;;;Грейферные краны;0,35;;
365;;;;Мартеновский цех;;;;;
366;;;;;;Насосы питательные мартеновского цеха;0,9;0,9;
367;;;;;;Дымососы мартеновского цеха;0,9;0,9;
368;;;;;;Печные заслонки мартеновских печей;0,25;0,6;
369;;;;;;Вентиляторы принудительного дутья;0,5 - 0,7;0,7 - 0,8;
370;;;;;;Магнитные краны;0,5;;
371;;;;;;Краны разливочные мартеновского цеха;0,22;;
372;;;;;;Краны заливочные мартеновского цеха;0,2;0,6;
373;;;;;;Завалочные машины;0,35;;
374;;;;;;Краны двора изложниц;0,4;0,6;
375;;;;Конверторный цех;;;;;
376;;;;;;Насосы высокого давления охлаждения форм;0,9;0,9;
377;;;;;;Преоброзователи привода наклона конвертора;0,25;;
378;;;;;;Сталевозные и шлаковозные тележки;0,1;;
379;;;;;;Вентиляторы;0,6 - 0,7;0,7 - 0,8;
380;;;;;;Разливочные краны;0,22;0,6;
381;;;;;;Заливочные краны;0,2;0,6;
382;;;;;;Механизмы подачи сыпучих;0,25 - 0,5;0,6 - 0,7;
383;;;;;;Дымососы односкоростные с синхронными двигателями;0,9;0,9 (оп);
384;;;;;;Дымососы двухскоростные с асинхронными двигателями;0,6;0,7;
